IT TENDER DATA ANALYSIS (Gemini AI)
================================================================================

Analysis Date: 2025-11-14 22:06:05
Source File: tenders_data.json
Total Tenders Analyzed: 150

================================================================================

Предоставям анализ на обществените поръчки, свързани с информационни технологии (ИТ), въз основа на предоставените данни от eop.bg.

## 1. Идентифицирани ИТ обществени поръчки

Филтрирах данните, търсейки ключови думи като "IT", "ИТ", "информационни технологии", "софтуер", "software", "хардуер", "hardware", "системи", "мрежи", "компютър", "лаптоп", "дисплей", "сървър", "дисков масив", "STEM" и други, както в "tender_objective", така и в "documentation" полетата. Открих 14 обществени поръчки, които са пряко свързани с информационните технологии.

Ето детайли за всяка от тях:

1.  **Поръчка №**: 02649-2025-0002
4.  **Поръчка №**: 00210-2025-0032
    *   **Купувач**: МИНИСТЕРСТВО НА ФИНАНСИТЕ
    *   **Описание на ИТ решение/услуга**: Доставка на преносими компютри (лаптопи), окомплектовани с аксесоари и операционна система.
    *   **Прогнозна стойност**: BGN 51 900,00
    *   **Краен срок за подаване**: 2025-11-24 23:59
    *   **Линк към поръчка**: https://app.eop.bg/today/536863

5.  **Поръчка №**: 03156-2025-0002
    *   **Купувач**: ОСНОВНО УЧИЛИЩЕ "СВЕТИ ПАИСИЙ ХИЛЕНДАРСКИ"
    *   **Описание на ИТ решение/услуга**: Доставка, монтаж и въвеждане в експлоатация на оборудване за изграждане на STEM център и високотехнологични оборудвани и свързани класни стаи (ВОСКС), включително роботи, 3D принтери, образователен софтуер, интерактивни дисплеи, лаптопи и STEM сървър/облачен Gateway.
    *   **Прогнозна стойност**: BGN 93 750,10
    *   **Краен срок за подаване**: 2025-11-24 23:59
    *   **Линк към поръчка**: https://app.eop.bg/today/540288

6.  **Поръчка №**: 00202-2025-0005
    *   **Купувач**: СТОПАНСКА АКАДЕМИЯ "ДИМИТЪР А. ЦЕНОВ"
    *   **Описание на ИТ решение/услуга**: Доставка на компютърна, периферна и мултимедийна техника, включително компютри, мултимедийни и периферни устройства, и компютърна Брайлова клавиатура.
    *   **Прогнозна стойност**: BGN 140 912,91
    *   **Краен срок за подаване**: 2025-12-08 23:59
    *   **Линк към поръчка**: https://app.eop.bg/today/540295

7.  **Поръчка №**: 02709-2025-0020
    *   **Купувач**: СЕВЕРОЗАПАДНО ДЪРЖАВНО ПРЕДПРИЯТИЕ ДП
    *   **Описание на ИТ решение/услуга**: Абонаментна поддръжка на счетоводна система "Ривал" и прилежащите ѝ модули за срок от 12 месеца.
    *   **Прогнозна стойност**: BGN 55 500,00
    *   **Краен срок за подаване**: 2025-11-24 23:59
    *   **Линк към поръчка**: https://app.eop.bg/today/540360

8.  **Поръчка №**: 02933-2025-0003
    *   **Купувач**: ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТУРИЗЪМ "ИВАН П. ПАВЛОВ"
    *   **Описание на ИТ решение/услуга**: Доставка, инсталация и гаранционна поддръжка на компютърна и периферна техника за STEM център, включително стереоскопични лаптопи, 3D принтери, интерактивни дисплеи, OPS компютърни модули, мини скенери, лазер за гравиране и рязане, интерактивни маси.
    *   **Прогнозна стойност**: BGN 80 360,80
    *   **Краен срок за подаване**: 2025-11-25 23:59
    *   **Линк към поръчка**: https://app.eop.bg/today/540364

9.  **Поръчка №**: 00972-2025-0016
    *   **Купувач**: УНИВЕРСИТЕТ "ПРОФЕСОР Д-Р АСЕН ЗЛАТАРОВ" БУРГАС
    *   **Описание на ИТ решение/услуга**: Доставка на ново и неупотребявано технологично оборудване с актуалната производствена листа на производителя. (Описанието е общо, но контекстът на университет и "технически средства" предполага ИТ).
    *   **Прогнозна стойност**: BGN 153 870,00
    *   **Краен срок за подаване**: 2025-12-08 23:59
    *   **Линк към поръчка**: https://app.eop.bg/today/540342

10. **Поръчка №**: 04022-2025-0003
    *   **Купувач**: ОСНОВНО УЧИЛИЩЕ "ХРИСТО БОТЕВ" - гр. РУСЕ
    *   **Описание на ИТ решение/услуга**: Доставка и монтаж на компютърно и образователно оборудване за STEM център, включително интерактивен дисплей, компютри, лазерно-гравираща машина.
    *   **Прогнозна стойност**: BGN 31 166,67
    *   **Краен срок за подаване**: 2025-11-26 23:59
    *   **Линк към поръчка**: https://app.eop.bg/today/539665

11. **Поръчка №**: 00159-2025-0042
    *   **Купувач**: ОБЩИНА ДОБРИЧКА
    *   **Описание на ИТ решение/услуга**: Основен ремонт на общински път, включително трасе за съобщителна инфраструктура. (Това е по-скоро строителство, но "съобщителна инфраструктура" може да включва ИТ аспекти като полагане на кабели, фиброоптика и т.н. - ще го включа, но с уговорка)
    *   **Прогнозна стойност**: BGN 3 797 361,64
    *   **Краен срок за подаване**: 2025-12-08 23:59
    *   **Линк към поръчка**: https://app.eop.bg/today/536288

12. **Поръчка №**: 00298-2025-0036
    *   **Купувач**: УНИВЕРСИТЕТСКА МНОГОПРОФИЛНА БОЛНИЦА ЗА АКТИВНО ЛЕЧЕНИЕ "КАНЕВ" АД
    *   **Описание на ИТ решение/услуга**: Абонаментна поддръжка, консултиране и доставка на допълнителни услуги и лицензи по програмни продукти „Гама“, изграждащи болничната информационна система.
